Région,Nature,Type,Texte annonce,Prix,Modifiée,Prix_Catégorie,Somme_Prix,Moyenne_Prix,Type_general,Nombre_de_chambres,Nombre_de_salle_de_bain,surface
La Soukra,Vente,App. 2 pièc,Apprt encours de con,225000.0,2024-04-12,Bas,16052000.0,697913.0434782609,Appartement,2.0,,150
Chatt Meriem,Vente,App. 3 pièc,S2 dans une residenc,245000.0,2024-04-12,Moyen-Bas,2340000.0,334285.71428571426,Appartement,3.0,,150
Cite Ennour Jaa,Vente,App. 4 pièc,Appartement s3 à nour ja,150000.0,2024-04-12,Bas,277000.0,138500.0,Appartement,4.0,,150
Cite Ennasr 2,Vente,App. 5 pièc,S4 spacieux et lumineux,700000.0,2024-04-12,Moyen-Haut,18235000.0,2605000.0,Appartement,5.0,,300
Cite Ennasr 1,Vente,App. 3 pièc,Appartement s2 à cité en,320000.0,2024-04-12,Moyen-Bas,2385000.0,397500.0,Appartement,3.0,,150
Arkou,Vente,Maisons,Maison djerbienne av,1350000.0,2024-04-12,Haut,1350000.0,1350000.0,Villa,5.0,,300
El Aouina,Vente,App. 4 pièc,Apprt au rdc  à cité,445000.0,2024-04-12,Moyen-Haut,14043620.0,438863.125,Appartement,4.0,,150
Marsa Safsaf,Vente,Maisons,Une villa à la marsa,2400000.0,2024-04-12,Haut,6700000.0,2233333.3333333335,Villa,5.0,,300
Chatt Meriem,Vente,App. 3 pièc,S1 pied dans l'eau a,220000.0,2024-04-12,Bas,2340000.0,334285.71428571426,Appartement,3.0,,150
Denden,Vente,App. 2 pièc,Appt s plus un dans rési,120000.0,2024-04-12,Bas,6860000.0,1372000.0,Appartement,2.0,,150
Hammamet,Vente,Maisons,V472 villa rimel sud ham,890000.0,2024-04-12,Haut,54225000.0,1869827.5862068965,Villa,5.0,,300
La Mannouba,Vente,Duplex,Duplex cité banka,900000.0,2024-04-12,Haut,900000.0,900000.0,Autre,5.0,,300
Hammamet,Vente,App. 1 pièc,Appartement pied dan,670000.0,2024-04-12,Moyen-Haut,54225000.0,1869827.5862068965,Appartement,1.0,,300
Ain Zaghouan,Vente,Autre,Réf 71v aux ain zaghouan sud,500000.0,2024-04-12,Moyen-Haut,4036000.0,504500.0,Autre,4.0,,150
Zone urbaine no,Vente,App. 2 pièc,Appt moderne s2 sup 110,390000.0,2024-04-12,Moyen-Bas,980000.0,490000.0,Appartement,2.0,,150
Kelibia,Vente,App. 2 pièc,Maison arabesque a kelib,225000.0,2024-04-12,Bas,2472000.0,353142.85714285716,Appartement,2.0,,150
Bizerte,Vente,App. 2 pièc,Appartement bizerte cent,260000.0,2024-04-12,Moyen-Bas,630000.0,315000.0,Appartement,2.0,,150
El Mourouj,Vente,App. 4 pièc,Appartement mourouj 3 2 étage,170000.0,2024-04-12,Bas,4922000.0,273444.44444444444,Appartement,4.0,,150
Hammamet,Vente,Maisons,Av villa s5 avec piscine,65000.0,2024-04-12,Bas,54225000.0,1869827.5862068965,Maison,1.0,,50
Ain Zaghouan,Vente,App. 4 pièc,Appartement s4 à ain zag,700000.0,2024-04-12,Moyen-Haut,4036000.0,504500.0,Appartement,4.0,,300
Jardins de Cart,Vente,App. 3 pièc,Ve1553 villa aux jardins de c,1500000.0,2024-04-12,Haut,3786620.0,757324.0,Appartement,3.0,,300
Ben Arous,Vente,Maisons,Villa  à cité taamir,420000.0,2024-04-12,Moyen-Haut,770000.0,256666.66666666666,Maison,3.0,,150
Chotrana 1,Vente,App. 2 pièc,Apprt s1à chotrana 1,165000.0,2024-04-12,Bas,165000.0,165000.0,Appartement,2.0,,150
La Soukra,Vente,Maisons,Immeuble malaisie à,850000.0,2024-04-12,Moyen-Haut,16052000.0,697913.0434782609,Villa,5.0,,300
El Mourouj,Vente,Autre,Villa trois niveaux bil,500000.0,2024-04-12,Moyen-Haut,4922000.0,273444.44444444444,Autre,4.0,,150
Hammamet,Vente,Maisons,V486 villa hanin 22 el b,850000.0,2024-04-12,Moyen-Haut,54225000.0,1869827.5862068965,Villa,5.0,,300
Jardins de Cart,Vente,App. 3 pièc,Un appartement s3 vide m,890000.0,2024-04-12,Haut,3786620.0,757324.0,Appartement,3.0,,300
El Aouina,Vente,App. 3 pièc,Appartement splus 2 à  la,210000.0,2024-04-12,Bas,14043620.0,438863.125,Appartement,3.0,,150
La Soukra,Vente,Duplex,Duplex s3 avec pisci,950000.0,2024-04-12,Haut,16052000.0,697913.0434782609,Autre,5.0,,300
Kheireddine,Vente,Maisons,Réf 69v une maison sur 2 nive,1500000.0,2024-04-12,Haut,1500000.0,1500000.0,Villa,5.0,,300
Cite Ennasr 2,Vente,Maisons,Villa avec piscine a,13000000.0,2024-04-12,Haut,18235000.0,2605000.0,Villa,5.0,,300
El Aouina,Vente,App. 1 pièc,Appartement s0 a laouina dire,130000.0,2024-04-12,Bas,14043620.0,438863.125,Appartement,1.0,,150
El Aouina,Vente,Surfaces,Local commercial a les j,600000.0,2024-04-12,Moyen-Haut,14043620.0,438863.125,Surface,4.0,,300
