Région,Nature,Type,Texte annonce,Prix,Modifiée
Hammamet,Vente,Maisons,Villa a hammamet sud,15000000.0,2024-04-12
Cite Ennasr 2,Vente,Maisons,Villa avec piscine a,13000000.0,2024-04-12
Jardins de Cart,Vente,App. 3 pièc,Un appartement s3 vide m,890000.0,2024-04-12
El Mourouj,Vente,App. 3 pièc,Appartement nawres,107000.0,2024-04-12
El Mourouj,Vente,App. 4 pièc,Appartement mourouj 3 2 étage,170000.0,2024-04-12
El Mourouj,Vente,App. 4 pièc,Appartement mourouj 3 2 étage,170000.0,2024-04-12
Borj Touil,Vente,Maisons,Maisons borj touil,550000.0,2024-04-12
Kalaa Essghira,Vente,Surfaces,Lot de coin auto route kalaa,558450.0,2024-04-12
Kalaa Essghira,Vente,Maisons,Maison a centre ville kalaa s,75000.0,2024-04-12
Gammart,Vente,Maisons,Maison cité rabii s2,180000.0,2024-04-12
Jendouba,Vente,Maisons,Cite el fayez jendouba,650000.0,2024-04-12
El Mourouj,Vente,App. 3 pièc,Appartement saif,140000.0,2024-04-12
La Soukra,Vente,App. 3 pièc,Un appartement s2 neuf à,405000.0,2024-04-12
Chatt Meriem,Vente,App. 3 pièc,S2 dans une residenc,245000.0,2024-04-12
Cite Ennour Jaa,Vente,App. 4 pièc,Appartement s3 à nour ja,150000.0,2024-04-12
La Soukra,Vente,Maisons,Maison sur deux nive,440000.0,2024-04-12
La Soukra,Vente,App. 3 pièc,S2 à la soukra,395000.0,2024-04-12
Jardins de Cart,Vente,App. 2 pièc,S1 avec jardin aux j,410000.0,2024-04-12
Kelibia,Vente,Surfaces,Terrain 2835 m2 sur la r,1150000.0,2024-04-12
El Menzah 7,Vente,App. 3 pièc,S2 menzah 7 245 md,245000.0,2024-04-12
Kelibia,Vente,Surfaces,Terrain 335 m2 à el mars,142000.0,2024-04-12
El Kantaoui,Vente,Maisons,Maison à la rentre dakou,8200000.0,2024-04-12
Kelibia,Vente,Surfaces,Terrain 331 m2 à sidi ma,115000.0,2024-04-12
El Mourouj,Vente,Maisons,Villa mourouj 6,750000.0,2024-04-12
Naassen,Vente,Surfaces,Ferme à naasseen,920000.0,2024-04-12
Mornag,Vente,Autre,Terrain faicel,190000.0,2024-04-12
La Soukra,Vente,App. 4 pièc,Appartement s3 de 155 m,365000.0,2024-04-12
La Soukra,Vente,Maisons,Villa jumelée  avec pisc,1350000.0,2024-04-12
Hammamet,Vente,App. 4 pièc,Appartement hela à yasmi,460000.0,2024-04-12
Hammamet,Vente,App. 3 pièc,Appartement philipe à ha,360000.0,2024-04-12
El Menzah 9,Vente,App. 4 pièc,S3 direct promoteur de h,580000.0,2024-04-12
El Menzah 9,Vente,Maisons,Villa jumlee à menzah 9,730000.0,2024-04-12
Chatt Meriem,Vente,App. 3 pièc,S2 avec une vue mer,550000.0,2024-04-12
El Aouina,Vente,App. 1 pièc,Joli appartement s1,183000.0,2024-04-12
El Aouina,Vente,App. 1 pièc,S1 neuf direct promoteur,169000.0,2024-04-12
Jardins de Cart,Vente,App. 2 pièc,S2 luxe au jardin de car,480000.0,2024-04-12
El Aouina,Vente,App. 2 pièc,S2 neuf direct promoteur,327000.0,2024-04-12
El Aouina,Vente,App. 3 pièc,Apprt s2 avec parkin,325000.0,2024-04-12
Jabbes,Vente,Maisons,Maison avec terrain,625000.0,2024-04-12
Ezzahra,Vente,Maisons,Villa avec piscine à ezz,480000.0,2024-04-12
El Manar 2,Vente,App. 4 pièc,S3 420 md manar 2,420000.0,2024-04-12
Borj Louzir,Vente,Maisons,Deux villa jumele de 642,1400000.0,2024-04-12
La Soukra,Vente,App. 3 pièc,Apprt s2 encours de,460000.0,2024-04-12
Chatt Meriem,Vente,App. 3 pièc,S1 pied dans l'eau a,220000.0,2024-04-12
El Menzah 9,Vente,Maisons,Villa  de 644 m a menzah,1680000.0,2024-04-12
Chatt Meriem,Vente,App. 4 pièc,S3 avec un prix inte,175000.0,2024-04-12
Borj Louzir,Vente,App. 2 pièc,Appartement s2 de 75m2,145000.0,2024-04-12
Cite Hotel Des,Vente,Maisons,Villa  en cours de constructi,360000.0,2024-04-12
El Menzah 5,Vente,Maisons,Ville  de 467m2 menzah 5,1600000.0,2024-04-12
La Soukra,Vente,App. 2 pièc,Apprt encours de con,225000.0,2024-04-12
Borj Cedria,Vente,App. 5 pièc,Appatrtement  5 pieces,230000.0,2024-04-12
La Soukra,Vente,App. 2 pièc,Apprt s1 au rdc  à s,180000.0,2024-04-12
Cite Ennasr 1,Vente,Duplex,Duplex a 570 md à ennasr,560000.0,2024-04-12
El Manar 1,Vente,App. 3 pièc,Manar 1 s3 de 90m2 proch,234000.0,2024-04-12
Bou Argoub,Vente,Maisons,Dar kamel bou argoub,300000.0,2024-04-12
Monfleury,Vente,Maisons,Appartement jihen montfl,200000.0,2024-04-12
El Mourouj,Vente,App. 3 pièc,Appartement rdc mourouj,120000.0,2024-04-12
Ain Zaghouan,Vente,App. 5 pièc,Appt s4 de 202m2 ain zag,620000.0,2024-04-12
La Soukra,Vente,App. 2 pièc,S plus 1 rue de parc tel,340000.0,2024-04-12
Chatt Meriem,Vente,App. 3 pièc,Offre appartement s2 pro,320000.0,2024-04-12
El Menzah 9,Vente,App. 3 pièc,S2 direct promoteur a me,470000.0,2024-04-12
El Menzah 9,Vente,App. 4 pièc,S3 menzah 9 638 md,638000.0,2024-04-12
El Menzah 9,Vente,App. 3 pièc,S2 380 md menzah 9c,380000.0,2024-04-12
La Soukra,Vente,Duplex,Duplex avec piscine à la,950000.0,2024-04-12
Zone Hoteliere,Vente,App. 4 pièc,Appartement  louana,650000.0,2024-04-12
El Aouina,Vente,App. 3 pièc,Appartement s 2  à   chot,460000.0,2024-04-12
Sfax,Vente,App. 3 pièc,Appart 60m2 avenue de algerie,60000.0,2024-04-12
El Mourouj,Vente,App. 3 pièc,Appartement s2 spacieux,150000.0,2024-04-12
El Aouina,Vente,App. 2 pièc,Apprt s1 à citee wahat,260000.0,2024-04-12
El Mourouj,Vente,App. 3 pièc,Offre appartement s2 à e,95000.0,2024-04-12
Borj Cedria,Vente,Surfaces,Terrain a borj cedria,275000.0,2024-04-12
Hammamet,Vente,Maisons,Villa nv à monchar v2582,1250000.0,2024-04-12
La Mannouba,Vente,Duplex,Duplex cité banka,900000.0,2024-04-12
Denden,Vente,App. 2 pièc,Appt s plus un dans rési,120000.0,2024-04-12
Chatt Meriem,Vente,App. 4 pièc,Villa  a chott marie,540000.0,2024-04-12
Hammamet,Vente,Maisons,Villa dream v122 zone su,1050000.0,2024-04-12
Cite Ennasr 1,Vente,App. 4 pièc,S3 a ennasr 1 avec jardi,500000.0,2024-04-12
Marsa Safsaf,Vente,App. 3 pièc,Réf 89v bel appartement s 2 r,1500000.0,2024-04-12
El Menzah 7,Vente,App. 3 pièc,S2 212 md menzah 7,212000.0,2024-04-12
Cherifate,Vente,Maisons,Villa slimen,11000000.0,2024-04-12
Salambo,Vente,App. 4 pièc,Réf 76v appartement s2 retapé,380000.0,2024-04-12
Cite Ennasr 2,Vente,Maisons,Villa a usage commercial,3000000.0,2024-04-12
Kalaa Essghira,Vente,Maisons,Maison sur terrain kalaa sghi,150000.0,2024-04-12
Ariana,Vente,Maisons,Réf 77v villa de 3 niveaux au,750000.0,2024-04-12
Ain Zaghouan,Vente,App. 3 pièc,Appartement s plus 2,710000.0,2024-04-12
Jardins d'el Me,Vente,App. 4 pièc,Un magnifique s3 à jardi,420000.0,2024-04-12
Gammart,Vente,Maisons,Immeuble hamna à gam,550000.0,2024-04-12
Ain Zaghouan,Vente,App. 1 pièc,Du proprietaire directem,160000.0,2024-04-12
Naassen,Vente,Maisons,Maison naassen,240000.0,2024-04-12
El Aouina,Vente,App. 3 pièc,Apprt s2 à  cité el   wah,263610.0,2024-04-12
Hammam Sousse,Vente,App. 3 pièc,Appartement haut standing a n,180000.0,2024-04-12
Sfax El Jadida,Vente,App. 3 pièc,Appart s2 a nassriya,185000.0,2024-04-12
Hammam Sousse,Vente,App. 3 pièc,Coquette appartement meu,240000.0,2024-04-12
El Aouina,Vente,App. 1 pièc,Appartement s0 a laouina dire,130000.0,2024-04-12
Sahloul,Vente,App. 3 pièc,Des appartements s2 et s,220000.0,2024-04-12
El Aouina,Vente,Autre,Fond de commerce franchi,390000.0,2024-04-12
Cite Ennasr 1,Vente,App. 5 pièc,S4 360 md a ennasr 1,360000.0,2024-04-12
Mornaguia,Vente,Maisons,Villa à mornaguia,650000.0,2024-04-12
Cite Ennasr 2,Vente,App. 4 pièc,S3 à ennasr 2,250000.0,2024-04-12
Ennagr,Vente,Maisons,Maison kalaa sghira enna,350000.0,2024-04-12
El Aouina,Vente,App. 1 pièc,S1 direct promoteur a la nouv,1850000.0,2024-04-12
Hammam Sousse,Vente,Maisons,Maison avec étage,230000.0,2024-04-12
Sidi Bou Ali,Vente,Maisons,Maison a salmoun,75000.0,2024-04-12
Hammam Sousse,Vente,Maisons,Maison pour famille,160000.0,2024-04-12
El Aouina,Vente,App. 1 pièc,Un appartement s1 direct prom,167000.0,2024-04-12
El Aouina,Vente,App. 2 pièc,Des appartement s2 s3 direct,305000.0,2024-04-12
Ain Zaghouan,Vente,App. 5 pièc,S plus 4 ain zaghouen no,620000.0,2024-04-12
La Soukra,Vente,App. 5 pièc,Maison la soukra tel 582,450000.0,2024-04-12
Cite Bhar Lazre,Vente,Duplex,Duplex à bhar lazreg,350000.0,2024-04-12
Marsa Safsaf,Vente,Maisons,Une villa a démolir à ma,2800000.0,2024-04-12
Marsa Safsaf,Vente,Maisons,Une villa à la marsa,2400000.0,2024-04-12
El Aouina,Vente,Surfaces,Local commercial a les j,600000.0,2024-04-12
Ben Arous,Vente,App. 2 pièc,S2 près showroom mazda,180000.0,2024-04-12
Zaouiet Sousse,Vente,App. 3 pièc,Maison r plus 2 cité,390000.0,2024-04-12
Hammam Sousse,Vente,App. 4 pièc,Standing s 3 à la ru,345000.0,2024-04-12
Bab Bhar,Vente,Autre,Fond et mur,250000.0,2024-04-12
Hammamet,Vente,Maisons,Villa  jimbaran,950000.0,2024-04-12
Berge Du Lac,Vente,App. 3 pièc,Appartement  emeraude  s,100000.0,2024-04-12
Cite Ennasr 2,Vente,App. 3 pièc,Appartement  maria  s3,400000.0,2024-04-12
Gammart,Vente,Maisons,Villa à la marsa,2600000.0,2024-04-12
Cite Jardins,Vente,App. 5 pièc,Appartement s plus 4,385000.0,2024-04-12
Hammamet,Vente,Maisons,Dar lotus hammamet c,1200000.0,2024-04-12
Ain Zaghouan,Vente,App. 2 pièc,Appartement deux pièces a,240000.0,2024-04-12
Hammamet,Vente,Maisons,Villa hannibal hamma,890000.0,2024-04-12
Hammamet,Vente,Maisons,Villa rania hammamet,1500000.0,2024-04-12
El Kantaoui,Vente,Maisons,Villa à rénover à ka,2200000.0,2024-04-12
El Menzah 6,Vente,App. 3 pièc,Duplex a la menzah 6,550000.0,2024-04-12
Chatt Meriem,Vente,Maisons,Maisonnette inachevé,290000.0,2024-04-12
Bab Bhar,Vente,App. 5 pièc,Une bonne occasion a,240000.0,2024-04-12
Hammamet,Vente,Maisons,Av villa s5 avec piscine,65000.0,2024-04-12
Jabbes,Vente,Autre,Terrain bien situe,115000.0,2024-04-12
Ariana,Vente,App. 1 pièc,Terain a arriana,561000.0,2024-04-12
Zone urbaine no,Vente,App. 3 pièc,Appartement moderne  sup,590000.0,2024-04-12
Ain Zaghouan,Vente,Autre,Réf 71v aux ain zaghouan sud,500000.0,2024-04-12
Kheireddine,Vente,Maisons,Réf 69v une maison sur 2 nive,1500000.0,2024-04-12
Le Bardo,Vente,Maisons,Réf 93v résidence appart hôte,4500000.0,2024-04-12
La Goulette Por,Vente,App. 4 pièc,Appartement s3 avec une,680000.0,2024-04-12
Carthage,Vente,App. 5 pièc,Magnifique villa à carth,8500000.0,2024-04-12
