Localisation,Type de bien,Superficie,Nb_Salles De bain,Nb_Chambres,Prix
La Soukra,Appartement,150,2.0,2.0,225000.0
Chatt Meriem,Appartement,150,2.0,3.0,245000.0
Cite Ennour Jaa,Appartement,150,3.0,4.0,150000.0
Cite Ennasr 2,Appartement,300,3.0,5.0,700000.0
Cite Ennasr 1,Appartement,150,2.0,3.0,320000.0
Arkou,Villa,300,4.0,5.0,1350000.0
El Aouina,Appartement,150,3.0,4.0,445000.0
Marsa Safsaf,Villa,300,4.0,5.0,2400000.0
Chatt Meriem,Appartement,150,2.0,3.0,220000.0
Denden,Appartement,150,2.0,2.0,120000.0
Hammamet,Villa,300,4.0,5.0,890000.0
Hammamet,Appartement,300,1.0,1.0,670000.0
Zone urbaine no,Appartement,150,2.0,2.0,390000.0
Kelibia,Appartement,150,2.0,2.0,225000.0
Bizerte,Appartement,150,2.0,2.0,260000.0
El Mourouj,Appartement,150,3.0,4.0,170000.0
Hammamet,Maison,50,1.0,1.0,65000.0
Ain Zaghouan,Appartement,300,3.0,4.0,700000.0
Jardins de Cart,Appartement,300,2.0,3.0,1500000.0
Ben Arous,Maison,150,2.0,3.0,420000.0
Chotrana 1,Appartement,150,2.0,2.0,165000.0
La Soukra,Villa,300,4.0,5.0,850000.0
Hammamet,Villa,300,4.0,5.0,850000.0
Jardins de Cart,Appartement,300,2.0,3.0,890000.0
El Aouina,Appartement,150,2.0,3.0,210000.0
Kheireddine,Villa,300,4.0,5.0,1500000.0
Cite Ennasr 2,Villa,300,4.0,5.0,13000000.0
El Aouina,Appartement,150,1.0,1.0,130000.0
El Mourouj 2,Appartement,150,3.0,4.0,110000.0
Kalaa Essghira,Maison,150,2.0,3.0,150000.0
El Manar 1,Appartement,150,2.0,3.0,234000.0
Cite Bhar Lazre,Appartement,50,2.0,2.0,90000.0
La Soukra,Villa,300,4.0,5.0,1280000.0
Hammamet,Villa,300,4.0,5.0,1200000.0
Ain Zaghouan,Appartement,300,3.0,5.0,620000.0
El Aouina,Appartement,150,2.0,3.0,460000.0
El Mourouj,Appartement,50,2.0,2.0,90000.0
Hammamet,Appartement,150,2.0,2.0,280000.0
Ain Zaghouan,Appartement,150,2.0,3.0,486000.0
Hammamet,Villa,300,4.0,5.0,860000.0
El Aouina,Appartement,150,2.0,3.0,325000.0
El Menzah 9,Villa,300,4.0,5.0,1090000.0
La Soukra,Appartement,150,2.0,2.0,165000.0
Cite Sahloul,Appartement,150,2.0,3.0,260000.0
Cite Ennasr 2,Appartement,150,3.0,4.0,475000.0
Gammart,Villa,300,4.0,5.0,2200000.0
El Menzah 5,Villa,300,4.0,5.0,1350000.0
El Aouina,Appartement,150,2.0,3.0,320000.0
Cite El Ghazala,Appartement,150,3.0,4.0,335000.0
Cite Bhar Lazre,Appartement,150,2.0,2.0,350000.0
Denden,Appartement,150,2.0,2.0,180000.0
El Menzah 5,Villa,300,4.0,5.0,1400000.0
El Aouina,Appartement,150,2.0,3.0,290000.0
Kelibia,Appartement,150,2.0,2.0,285000.0
Chatt Meriem,Appartement,300,2.0,3.0,550000.0
Ariana,Villa,300,3.0,4.0,750000.0
El Aouina,Appartement,150,2.0,2.0,192000.0
El Manar 1,Villa,300,3.0,4.0,750000.0
Marsa Safsaf,Villa,300,4.0,5.0,2800000.0
El Manar 1,Appartement,150,3.0,4.0,245000.0
Ennagr,Maison,150,2.0,3.0,350000.0
Ghar El Melh,Appartement,150,2.0,2.0,150000.0
Cite El Moez,Villa,300,4.0,5.0,1810000.0
El Menzah 9,Villa,300,4.0,5.0,1200000.0
Kelibia,Appartement,150,2.0,2.0,175000.0
La Soukra,Villa,300,4.0,5.0,1400000.0
Gammart,Villa,300,3.0,4.0,550000.0
Bizerte,Appartement,150,1.0,1.0,370000.0
Chatt Meriem,Appartement,150,2.0,3.0,320000.0
Cite Ain Mariem,Appartement,150,2.0,2.0,270000.0
Ezzahra,Maison,150,2.0,3.0,480000.0
Hammamet,Villa,300,4.0,5.0,1050000.0
Sidi Bou Ali,Maison,50,1.0,1.0,75000.0
El Kantaoui,Villa,300,4.0,5.0,2200000.0
Cite Bhar Lazre,Appartement,150,2.0,2.0,100000.0
El Aouina,Villa,300,4.0,5.0,3700000.0
Le Bardo,Villa,300,3.0,4.0,730000.0
Nouvelle Medina,Villa,300,3.0,4.0,720000.0
Beni Khiar,Villa,300,3.0,4.0,630000.0
El Manar 2,Appartement,150,3.0,4.0,420000.0
Hammam Sousse,Appartement,150,3.0,4.0,345000.0
Jardins de Cart,Appartement,150,2.0,2.0,480000.0
El Mourouj,Appartement,150,2.0,3.0,150000.0
Borj Cedria,Appartement,150,3.0,5.0,230000.0
Gammart,Maison,150,2.0,3.0,180000.0
Dar Chaabane Pl,Villa,300,3.0,4.0,680000.0
Ezzahra,Appartement,150,2.0,3.0,330000.0
Cite De La Plag,Villa,300,4.0,5.0,1170000.0
El Aouina,Appartement,150,2.0,2.0,327000.0
El Aouina,Appartement,150,2.0,3.0,270000.0
Borj Touil,Villa,300,3.0,4.0,550000.0
Kelibia,Maison,150,2.0,3.0,380000.0
Cite Ennasr 1,Appartement,150,2.0,2.0,180000.0
El Menzah 9,Appartement,300,3.0,4.0,580000.0
Zaghouan,Villa,300,3.0,4.0,580000.0
Nouvelle Medina,Appartement,50,1.0,1.0,80000.0
La Soukra,Appartement,150,2.0,2.0,340000.0
Midoun,Villa,300,4.0,5.0,1100000.0
Ben Arous,Appartement,150,2.0,2.0,180000.0
El Menzah 6,Villa,300,4.0,5.0,2500000.0
Ezzahra,Maison,150,2.0,3.0,345000.0
Hammamet,Villa,300,4.0,5.0,1250000.0
Cite Ain Meriem,Maison,150,2.0,3.0,320000.0
La Soukra,Appartement,150,2.0,3.0,395000.0
Hammamet,Villa,300,4.0,5.0,980000.0
La Soukra,Appartement,150,3.0,5.0,450000.0
Bou Mhel,Appartement,150,1.0,1.0,155000.0
Nouvelle Medina,Appartement,150,2.0,2.0,180000.0
Ben Arous,Appartement,150,2.0,2.0,170000.0
El Aouina,Appartement,150,2.0,3.0,240000.0
Soliman,Maison,150,2.0,3.0,140000.0
El Aouina,Appartement,150,2.0,2.0,185000.0
Rades,Maison,150,2.0,3.0,200000.0
El Menzah 5,Villa,300,4.0,5.0,1500000.0
Gammart,Appartement,150,2.0,3.0,500000.0
Hammamet,Villa,300,4.0,5.0,1380000.0
El Menzah 7,Appartement,150,2.0,3.0,245000.0
Cite Ennasr 2,Appartement,150,2.0,3.0,400000.0
Rades,Appartement,150,2.0,2.0,280000.0
Bab Bhar,Appartement,150,3.0,5.0,240000.0
El Aouina,Appartement,150,2.0,2.0,260000.0
El Aouina,Appartement,150,2.0,3.0,285000.0
El Mourouj,Appartement,150,2.0,3.0,230000.0
Cite Ennour Jaa,Appartement,150,2.0,3.0,127000.0
Cite Jardins,Appartement,150,3.0,5.0,385000.0
Ariana,Appartement,300,1.0,1.0,561000.0
Jardins d'el Me,Appartement,150,3.0,4.0,420000.0
Ain Zaghouan,Appartement,300,3.0,5.0,620000.0
El Mourouj,Appartement,50,2.0,3.0,95000.0
Gammart,Appartement,300,2.0,3.0,1100000.0
El Menzah 9,Appartement,300,3.0,4.0,638000.0
El Mourouj,Appartement,150,2.0,3.0,180000.0
Hammam Sousse,Maison,150,2.0,3.0,160000.0
El Kantaoui,Villa,300,4.0,5.0,8200000.0
Mutuelle Ville,Villa,300,4.0,5.0,2000000.0
Berge Du Lac,Appartement,150,2.0,3.0,100000.0
Sfax El Jadida,Appartement,150,2.0,3.0,185000.0
El Aouina,Appartement,150,2.0,3.0,220000.0
El Aouina,Appartement,150,1.0,1.0,169000.0
Carthage,Villa,300,4.0,5.0,3100000.0
La Goulette Por,Appartement,300,3.0,4.0,680000.0
Naassen,Maison,150,2.0,3.0,240000.0
El Hessiene,Villa,300,4.0,5.0,1150000.0
Mutuelle Ville,Villa,300,4.0,5.0,1950000.0
Dar Allouche,Villa,300,3.0,4.0,550000.0
Hammamet,Appartement,150,3.0,4.0,460000.0
El Mourouj,Villa,300,3.0,4.0,750000.0
Hammamet,Villa,300,4.0,5.0,990000.0
La Soukra,Villa,300,4.0,5.0,1450000.0
La Soukra,Villa,300,4.0,5.0,1480000.0
Cite Ennkhilet,Maison,150,2.0,3.0,295000.0
Cite El Khalil,Villa,300,3.0,4.0,540000.0
Bou Mhel,Maison,150,2.0,3.0,248000.0
El Manar 2,Villa,300,4.0,5.0,2500000.0
Akouda,Appartement,300,3.0,5.0,1550000.0
El Manar 2,Villa,300,4.0,5.0,1800000.0
Hammamet,Villa,300,4.0,5.0,850000.0
Hammamet,Villa,300,4.0,5.0,15000000.0
El Menzah 9,Villa,300,4.0,5.0,1680000.0
Hammamet,Villa,300,4.0,5.0,980000.0
La Soukra,Villa,300,4.0,5.0,990000.0
El Aouina,Appartement,150,2.0,2.0,305000.0
Le Bardo,Villa,300,4.0,5.0,4500000.0
Hammamet,Villa,300,4.0,5.0,950000.0
Hammamet,Appartement,150,2.0,3.0,360000.0
Borj Louzir,Appartement,150,2.0,2.0,145000.0
El Aouina,Appartement,150,3.0,4.0,270000.0
