Région,Nature,Type,Texte annonce,Prix,Modifiée
Hammamet,Vente,Maisons,Villa a hammamet sud,15 000 000,04/12/2024
Cite Ennasr 2,Vente,Maisons,Villa avec piscine a,13 000 000,04/12/2024
Le Kram Ouest,Location,App. 2 pièc,Appartement s plus 1,370,04/12/2024
Jardins d'el Me,Location,Maisons,Étage de villa s 4 jardi,1 800,04/12/2024
Cite Ennasr 2,Location,App. 2 pièc,Un appart s 1 à cité nas,860,04/12/2024
Cite Ennasr 2,Location,App. 2 pièc,Appart s 1 ht standing c,900,04/12/2024
Cite Ennasr 2,Location,App. 2 pièc,Appart s1 neuf haut stan,900,04/12/2024
Cite Ennasr 2,Location,App. 2 pièc,Appart s1 neuf haut stan,950,04/12/2024
Cite Ennasr 2,Location,App. 2 pièc,Appart s1 meublé à ennas,1 200,04/12/2024
Jardins de Cart,Location,App. 4 pièc,S3 meublé aux jardins de,3 700,04/12/2024
Nabeul,Terrain,Terrain nu,Terrain commercial,123 000,04/12/2024
Kelibia,Location,App. 3 pièc,App s2 kelibia,6 000,04/12/2024
Kelibia,Location,App. 3 pièc,App s3 kelibia,600,04/12/2024
Cite Ennasr 2,Location,App. 2 pièc,Appart s1 neuf haut stan,850,04/12/2024
Montplaisir,Bureaux & Commer,Bureau,Plateau moderne sup 165,3 000,04/12/2024
Zone urbaine no,Bureaux & Commer,Bureau,Plateau moderne h 5 sup,3 500,04/12/2024
Mutuelle Ville,Bureaux & Commer,Bureau,Plateau moderne sup 300,7 000,04/12/2024
Ain Zaghouan,Location,Maisons,Villa s7 avec piscine à,6 500,04/12/2024
Jardins de Cart,Vente,App. 3 pièc,Un appartement s3 vide m,890 000,04/12/2024
El Mourouj,Vente,App. 3 pièc,Appartement nawres,107 000,04/12/2024
El Mourouj,Location,App. 3 pièc,Rd jardin meublée,600,04/12/2024
Gammart,Location,App. 5 pièc,Villa s4 avec piscine à,6 000,04/12/2024
Jardins de Cart,Location,App. 3 pièc,Appartement s2 aux jardi,1 600,04/12/2024
Ain Zaghouan,Location,App. 2 pièc,Appartement s1 meublé à,1 700,04/12/2024
El Mourouj,Vente,App. 4 pièc,Appartement mourouj 3 2 étage,170 000,04/12/2024
El Mourouj,Vente,App. 4 pièc,Appartement mourouj 3 2 étage,170 000,04/12/2024
Cite Ennasr 2,Location,App. 2 pièc,Appartement s 1 ht stand,900,04/12/2024
Cite Ennasr 2,Location,App. 2 pièc,Un appart s 1 ht standin,850,04/12/2024
Riadh Landlous,Location,App. 3 pièc,Étage de villa s 2 riadh,900,04/12/2024
El Mahfoura,Terrain,Terrain nu,Terrain nu tebourba elmahfour,1 650 000,04/12/2024
Bou Hnech,Terrain,Terrain nu,Terrain nu bou hnech,225 000,04/12/2024
Borj Touil,Vente,Maisons,Maisons borj touil,550 000,04/12/2024
Sidi Bou Ali,Terrain,Terrain nu,Terrain 90000 sidi bou ali,2 250 000,04/12/2024
Kalaa Essghira,Vente,Surfaces,Lot de coin auto route kalaa,558 450,04/12/2024
Kalaa Essghira,Vente,Maisons,Maison a centre ville kalaa s,75 000,04/12/2024
Gammart,Vente,Maisons,Maison cité rabii s2,180 000,04/12/2024
El Menzah 9,Location,App. 2 pièc,Appart s1 neuf haut stan,1 000,04/12/2024
El Menzah 5,Bureaux & Commer,Bureau,Bureau a4 200m haut stan,3 000,04/12/2024
Cite Ennasr 2,Location,Maisons,Villa s7 avec jardin et,4 500,04/12/2024
Le Bardo,Location,App. 2 pièc,Appt luxe hall 2 fin rue,550,04/12/2024
Chotrana 1,Location,Duplex,Duplex s4 avec piscine à,4 200,04/12/2024
Cite Bhar Lazre,Location,App. 1 pièc,Un appartement s1 meublé,1 400,04/12/2024
Marsa Ennassim,Location,Duplex,Duplex s3 avec jardin à,4 000,04/12/2024
Le Bardo,Location,App. 1 pièc,Studio meublé bardo,370,04/12/2024
Ain Zaghouan,Location,App. 3 pièc,S2 à ain zaghouan nord m,1 850,04/12/2024
Cite Bhar Lazre,Location,App. 1 pièc,Un appartement s0 vide z,850,04/12/2024
Jardins de Cart,Location,App. 1 pièc,Un appartement s1  meubl,1 800,04/12/2024
Chotrana 3,Terrain,Terrain nu,Terrain à chotrana 3,696 900,04/12/2024
Ariana,Location,Maisons,Villa à ariana près de a,2 000,04/12/2024
Berge Du Lac,Bureaux & Commer,Fond de Com,Fond de commerce caféres,145 000,04/12/2024
Jardins de Cart,Location,App. 1 pièc,Un appartement s1  meubl,1 800,04/12/2024
Chotrana 3,Terrain,Terrain nu,Terrain à chotrana 3,696 900,04/12/2024
Ariana,Location,Maisons,Villa à ariana près de a,2 000,04/12/2024
Berge Du Lac,Bureaux & Commer,Fond de Com,Fond de commerce caféres,145 000,04/12/2024
Republique,Location,App. 1 pièc,S1  tres 2 chambres sepa,800,04/12/2024
Le Bardo,Location,App. 3 pièc,S2 renove tres propre a,700,04/12/2024
Le Kram,Location,Maisons,Bureau h4 au lac 3 k,1 850,04/12/2024
Le Bardo,Location,App. 4 pièc,Rdc indépendant s3 pres,1 200,04/12/2024
Dar Allouche,Terrain,Terrain nu,Terrain  dar allouch,480 000,04/12/2024
Jendouba,Vente,Maisons,Cite el fayez jendouba,650 000,04/12/2024
El Mourouj,Location,App. 4 pièc,Appartement haut standin,1 300,04/12/2024
El Mourouj,Vente,App. 3 pièc,Appartement saif,140 000,04/12/2024
La Soukra,Vente,App. 3 pièc,Un appartement s2 neuf à,405 000,04/12/2024
Bou Mhel,Location,App. 3 pièc,Appartement s3 hst à boumhel,1 000,04/12/2024
Cite Ennasr 2,Location,App. 4 pièc,Etage de villa s3 avec t,1 300,04/12/2024
Le Bardo,Location,App. 3 pièc,Appt tres propre pres pi,750,04/12/2024
Hammamet,Location,Maisons,Etage de villa s3 me,1 200,04/12/2024
Ariana,Location,Maisons,Villa plein pied s3 avec,2 000,04/12/2024
Ain Zaghouan,Location,App. 3 pièc,Un appartement s3 vide z,1 600,04/12/2024
Mutuelle Ville,Bureaux & Commer,Bureau,Bureau 1250 d menzah 9,1 250,04/12/2024
Riadh Landlous,Location,App. 3 pièc,2eme etage dune villa s2,900,04/12/2024
Chatt Meriem,Location,App. 5 pièc,Villa s4 avec jardin,2 500,04/12/2024
Republique,Location,App. 1 pièc,S0 tres propre derrière,480,04/12/2024
Salambo,Location,App. 3 pièc,Grand s2 luxe meuble pre,1 000,04/12/2024
El Menzah 5,Bureaux & Commer,Bureau,Bureau a3 haut standing,1 550,04/12/2024
Mutuelle Ville,Location,App. 2 pièc,Super s1 haut standing m,1 700,04/12/2024
Le Kram,Location,App. 2 pièc,Grand s1 haut standing a,800,04/12/2024
Cite Ennasr 2,Location,Maisons,Villa jumelée haut stand,2 700,04/12/2024
Jardins de Cart,Location,App. 2 pièc,S plus 1 meublee jardin,1 800,04/12/2024
Ezzahra,Terrain,Terrain nu,Terrain avec titire,80 000,04/12/2024
El Aouina,Bureaux & Commer,Bureau,Depot de stockage,2 600,04/12/2024
Hedi Chaker,Location,App. 2 pièc,Fille italienne cherche studi,n.d,04/12/2024
Hedi Chaker,Location,App. 2 pièc,Semi meublee 2 pieces s de ba,900,04/12/2024
Montplaisir,Bureaux & Commer,Bureau,Bureaux lux openspace avec fi,3 000,04/12/2024
Charguia 1,Bureaux & Commer,Surfaces,Espace commercial de,2 500,04/12/2024
Montplaisir,Bureaux & Commer,Bureau,Espace de bureaux 28,4 500,04/12/2024
La Soukra,Location,App. 2 pièc,Studio meublé a soukra c,600,04/12/2024
Chatt Meriem,Vente,App. 3 pièc,S2 dans une residenc,245 000,04/12/2024
Charguia 1,Bureaux & Commer,Bureau,Espace bureautique 6,7 700,04/12/2024
Cite Ennour Jaa,Vente,App. 4 pièc,Appartement s3 à nour ja,150 000,04/12/2024
La Soukra,Location,Maisons,S2 meublé a soukra 90 d,600,04/12/2024
La Soukra,Vente,Maisons,Maison sur deux nive,440 000,04/12/2024
Cite Ennasr 2,Location,App. 2 pièc,S1 850 d ennasr 2,850,04/12/2024
La Soukra,Vente,App. 3 pièc,S2 à la soukra,395 000,04/12/2024
Jardins de Cart,Vente,App. 2 pièc,S1 avec jardin aux j,410 000,04/12/2024
La Soukra,Location,App. 1 pièc,S1 meublé a soukra charg,600,04/12/2024
Gammart,Location,App. 5 pièc,Villa s4 à la marsa mvl0,5 000,04/12/2024
Kelibia,Vente,Surfaces,Terrain 2835 m2 sur la r,1 150 000,04/12/2024
El Menzah 7,Vente,App. 3 pièc,S2 menzah 7 245 md,245 000,04/12/2024
Kalaa Essghira,Terrain,Terrain nu,Terrain a kalaa sghira,302 400,04/12/2024
Kelibia,Vente,Surfaces,Terrain 335 m2 à el mars,142 000,04/12/2024
Berge Du Lac,Location,Duplex,Duplex s3 avec terrasse,2 500,04/12/2024
El Kantaoui,Vente,Maisons,Maison à la rentre dakou,8 200 000,04/12/2024
Kelibia,Vente,Surfaces,Terrain 331 m2 à sidi ma,115 000,04/12/2024
Kalaa Essghira,Terrain,Terrain nu,Terrain nu kalaa sghira lot d,180 000,04/12/2024
El Mourouj,Vente,Maisons,Villa mourouj 6,750 000,04/12/2024
Naassen,Vente,Surfaces,Ferme à naasseen,920 000,04/12/2024
Gammart,Location,App. 3 pièc,Appartement s2 avec pisc,4 000,04/12/2024
Cite El Ghazala,Location,App. 1 pièc,A  s1  el ghazela prs re,750,04/12/2024
Mornag,Vente,Autre,Terrain faicel,190 000,04/12/2024
La Soukra,Vente,App. 4 pièc,Appartement s3 de 155 m,365 000,04/12/2024
Ain Zaghouan,Location,App. 1 pièc,S plus 0 meuble ain zagh,950,04/12/2024
La Soukra,Vente,Maisons,Villa jumelée  avec pisc,1 350 000,04/12/2024
Hammamet,Location,App. 4 pièc,Appartement syrine à ham,1 800,04/12/2024
Cite Erriadh,Location,Duplex,Duplex s3 à la marsa mdl,2 000,04/12/2024
Hammamet,Vente,App. 4 pièc,Appartement hela à yasmi,460 000,04/12/2024
El Menzah 4,Bureaux & Commer,Bureau,Bureautique s5 à menzah,4 500,04/12/2024
Hammamet,Vente,App. 3 pièc,Appartement philipe à ha,360 000,04/12/2024
El Menzah 9,Vente,App. 4 pièc,S3 direct promoteur de h,580 000,04/12/2024
Ain Zaghouan,Location,App. 3 pièc,Appartement s2 à ain zag,1 300,04/12/2024
Berge Du Lac,Location,App. 3 pièc,Un appartement s3 vide z,4 800,04/12/2024
Ain Zaghouan,Location,App. 2 pièc,Un appartement s2 vide z,1 100,04/12/2024
El Menzah 9,Vente,Maisons,Villa jumlee à menzah 9,730 000,04/12/2024
El Menzah 9,Bureaux & Commer,Surfaces,Local commercial au coeu,800,04/12/2024
Riadh Landlous,Location,App. 2 pièc,Appartement s1 meublé ri,1 300,04/12/2024
Cite Ennasr 2,Location,Maisons,Luxueux villa a cité el,2 700,04/12/2024
Chatt Meriem,Vente,App. 3 pièc,S2 avec une vue mer,550 000,04/12/2024
Ain Zaghouan,Location,App. 2 pièc,S plus 2 ain zaghouan no,1 400,04/12/2024
El Aouina,Vente,App. 1 pièc,Joli appartement s1,183 000,04/12/2024
El Aouina,Vente,App. 1 pièc,S1 neuf direct promoteur,169 000,04/12/2024
Jardins de Cart,Vente,App. 2 pièc,S2 luxe au jardin de car,480 000,04/12/2024
El Aouina,Vente,App. 2 pièc,S2 neuf direct promoteur,327 000,04/12/2024
El Menzah 9,Location,Maisons,Rdc 1700 d de villa a me,1 700,04/12/2024
El Menzah 9,Location,App. 2 pièc,S1 menzah 9c de haut sta,1 000,04/12/2024
El Aouina,Vente,App. 3 pièc,Apprt s2 avec parkin,325 000,04/12/2024
Hammam El Gheza,Terrain,Terrain nu,Terrain pour  investissement,350 000,04/12/2024
Cite Ennasr 1,Terrain,Terrain nu,Terrain avec titre fonci,12 000,04/12/2024
Jabbes,Vente,Maisons,Maison avec terrain,625 000,04/12/2024
Hammam El Gheza,Terrain,Terrain agr,Un  terrain paradisiaque,300 000,04/12/2024
Ain Zaghouan,Location,App. 3 pièc,S plus 2 ain zaghouan 58,1 200,04/12/2024
Ain Zaghouan,Location,App. 3 pièc,S plus 2  ain zaghouan 5,1 200,04/12/2024
El Aouina,Location,App. 3 pièc,S plus 2 meuble laouina,1 500,04/12/2024
Ezzahra,Vente,Maisons,Villa avec piscine à ezz,480 000,04/12/2024
Jardins de Cart,Location,App. 3 pièc,Appartement s2 aux jardi,3 000,04/12/2024
El Aouina,Location,App. 2 pièc,Apprt s1meublé    à cité,1 100,04/12/2024
El Manar 2,Vente,App. 4 pièc,S3 420 md manar 2,420 000,04/12/2024
Cite Ennasr 2,Bureaux & Commer,Surfaces,Local 1300 d à ennasr 2,1 300,04/12/2024
Chotrana 1,Location,App. 3 pièc,Appartement s2 à la souk,1 700,04/12/2024
Akouda,Terrain,Terrain nu,Terrain avec fondation cave à,290 000,04/12/2024
Chatt Meriem,Terrain,Terrain agr,Terrain titré 1094m vue,273 500,04/12/2024
Borj Louzir,Vente,Maisons,Deux villa jumele de 642,1 400 000,04/12/2024
La Soukra,Vente,App. 3 pièc,Apprt s2 encours de,460 000,04/12/2024
Mutuelle Ville,Location,Maisons,Un duplex penthouse de t,4 200,04/12/2024
Mutuelle Ville,Location,Maisons,Grande villa semi meublé,4 500,04/12/2024
Hergla,Terrain,Terrain nu,Lot 700m pas loin de la résid,602 000,04/12/2024
Mutuelle Ville,Location,Maisons,Villa haut standing habi,4 500,04/12/2024
Hammam El Gheza,Terrain,Terrain nu,Terrain pour meilleur investi,240 000,04/12/2024
El Hrairia,Location,App. 2 pièc,Apparemment dans une rés,490,04/12/2024
Jardins de Cart,Location,App. 4 pièc,Appartement s3 aux jardi,2 300,04/12/2024
Chatt Meriem,Vente,App. 3 pièc,S1 pied dans l'eau a,220 000,04/12/2024
Hammamet,Location,App. 2 pièc,S plus 1 a el hammam,500,04/12/2024
Korba Hached,Bureaux & Commer,Atelier,Garage où local où dépôt,7 800,04/12/2024
El Menzah 9,Vente,Maisons,Villa  de 644 m a menzah,1 680 000,04/12/2024
Korchine,Location vacance,App. 3 pièc,Appart meublé s et 2,140,04/12/2024
Le Bardo,Terrain,Terrain nu,Terrain le bardo cite mi,1 078 000,04/12/2024
La Mannouba,Terrain,Terrain nu,Terrain 8000 m2 a sangaj,2 400 000,04/12/2024
Chatt Meriem,Vente,App. 4 pièc,S3 avec un prix inte,175 000,04/12/2024
Borj Louzir,Vente,App. 2 pièc,Appartement s2 de 75m2,145 000,04/12/2024
Cite Hotel Des,Vente,Maisons,Villa  en cours de constructi,360 000,04/12/2024
Hammam El Gheza,Terrain,Terrain agr,Affaire à ne pas rater de 200,170 000,04/12/2024
El Aouina,Location,App. 2 pièc,S2 a cite wahat avec place pa,1 100,04/12/2024
El Menzah 5,Vente,Maisons,Ville  de 467m2 menzah 5,1 600 000,04/12/2024
Borj Touil,Terrain,Terrain nu,Terrain nu borj touil,125 000,04/12/2024
Hammam El Gheza,Terrain,Terrain nu,Investissez dans des terrains,90 000,04/12/2024
Ain Zaghouan,Location,App. 3 pièc,S2 meuble laouina,1 650,04/12/2024
La Soukra,Vente,App. 2 pièc,Apprt encours de con,225 000,04/12/2024
El Omrane,Location,App. 5 pièc,Rdc de villa à omran ric,2 800,04/12/2024
Cite El Ghazala,Terrain,Terrain nu,Terrain nu nahli gèant,257 600,04/12/2024
Cebalet Ben Amm,Terrain,Terrain nu,Cebalet ben ammar  terrain nu,235 000,04/12/2024
Borj Cedria,Vente,App. 5 pièc,Appatrtement  5 pieces,230 000,04/12/2024
Bou Mhel,Location,App. 3 pièc,Appartement s3 haut stan,1 700,04/12/2024
La Soukra,Vente,App. 2 pièc,Apprt s1 au rdc  à s,180 000,04/12/2024
Cite Ennasr 2,Location,App. 3 pièc,S2 1300 d ennasr 2,1 300,04/12/2024
Cite Ennasr 1,Vente,Duplex,Duplex a 570 md à ennasr,560 000,04/12/2024
El Aouina,Location,App. 4 pièc,Étage de villa s3 bureaut,2 500,04/12/2024
El Manar 1,Vente,App. 3 pièc,Manar 1 s3 de 90m2 proch,234 000,04/12/2024
Hergla,Terrain,Terrain nu,Terrain d'investisement,937 000,04/12/2024
Bou Argoub,Vente,Maisons,Dar kamel bou argoub,300 000,04/12/2024
Monfleury,Vente,Maisons,Appartement jihen montfl,200 000,04/12/2024
El Mourouj,Vente,App. 3 pièc,Appartement rdc mourouj,120 000,04/12/2024
