iter	RMSE
0	270243.941
1	264982.361
2	259962.4898
3	254952.4967
4	250443.9349
5	246095.7542
6	241961.1188
7	238021.6992
8	234499.7794
9	231036.717
10	227825.6549
11	224908.0447
12	222018.7396
13	219518.8553
14	217033.1874
15	214829.7903
16	212944.7439
17	210947.4849
18	208966.9018
19	207222.9354
20	205400.2211
21	203869.1191
22	202356.3602
23	200973.9685
24	199521.741
25	198124.7732
26	196881.5343
27	195756.4369
28	194843.814
29	193831.0575
30	192862.6027
31	191997.3756
32	191090.6124
33	190121.916
34	189328.5194
35	188716.5622
36	188007.5811
37	187347.5204
38	186644.9515
39	186123.3381
40	185567.4765
41	184926.4469
42	184462.9262
43	183938.584
44	183451.9283
45	182952.7947
46	182527.9762
47	182144.7401
48	181695.783
49	181309.2554
50	180912.3683
51	180513.7236
52	180188.6429
53	179747.7584
54	179514.2489
55	179182.9352
56	178835.7999
57	178465.0592
58	178202.1899
59	177812.1374
60	177640.4454
61	177402.6268
62	177114.4424
63	176859.4496
64	176562.6809
65	176401.9479
66	176165.0417
67	175909.3245
68	175637.5228
69	175543.5756
70	175318.4954
71	175131.6209
72	174889.7985
73	174666.904
74	174534.5118
75	174346.6369
76	174097.0954
77	173906.8632
78	173832.3168
79	173688.7591
80	173489.3846
81	173321.6983
82	173210.3183
83	173067.2546
84	172911.9306
85	172685.327
86	172553.5333
87	172430.7206
88	172319.9597
89	172216.8871
90	172112.5407
91	171953.0837
92	171852.4873
93	171619.162
94	171513.0469
95	171442.9473
96	171375.6948
97	171188.061
98	170967.3548
99	170756.4594
100	170643.8577
101	170480.0247
102	170400.6567
103	170253.7932
104	170149.3397
105	170066.8423
106	169914.2167
107	169816.2202
108	169735.3224
109	169643.5481
110	169543.0335
111	169435.1147
112	169337.0601
113	169256.3467
114	169163.2315
115	168970.8878
116	168904.2133
117	168803.0121
118	168679.9922
119	168561.8995
120	168481.06
121	168398.0159
122	168294.7439
123	168200.0473
124	168119.8294
125	167992.059
126	167855.6663
127	167774.4823
128	167694.908
129	167668.3766
130	167587.914
131	167553.2876
132	167440.5838
133	167320.8059
134	167276.2115
135	167203.3807
136	167135.75
137	167003.189
138	166940.5545
139	166825.036
140	166783.5917
141	166651.021
142	166565.4462
143	166486.6803
144	166390.3595
145	166329.3138
146	166272.5612
147	166075.3356
148	166035.449
149	165885.7246
150	165758.1643
151	165667.9599
152	165596.5805
153	165440.9652
154	165310.7872
155	165216.686
156	165114.9548
157	165006.8195
158	164907.7075
159	164770.5281
160	164742.8989
161	164660.753
162	164618.8811
163	164511.3278
164	164384.1058
165	164266.0108
166	164188.4855
167	164153.1687
168	164102.009
169	164018.89
170	163943.3918
171	163887.821
172	163773.714
173	163661.1897
174	163586.6829
175	163450.7001
176	163389.7983
177	163315.6278
178	163266.1984
179	163176.0827
180	163020.3278
181	162836.0652
182	162730.6189
183	162671.5352
184	162567.6457
185	162518.3898
186	162407.0753
187	162267.2695
188	162219.0525
189	162120.0487
190	162022.4804
191	161947.2635
192	161859.9191
193	161830.5518
194	161644.9321
195	161490.6153
196	161367.07
197	161328.659
198	161288.7469
199	161197.4471
200	161160.9645
201	161039.357
202	161002.1169
203	160910.437
204	160787.5899
205	160673.4894
206	160568.0306
207	160512.1401
208	160412.0976
209	160380.7304
210	160269.7213
211	160196.0679
212	160027.1136
213	159993.6606
214	159954.7374
215	159929.3275
216	159874.5061
217	159803.3491
218	159748.8163
219	159709.6966
220	159625.8706
221	159523.4993
222	159493.0201
223	159419.804
224	159354.0733
225	159252.0425
226	159197.2458
227	159098.9101
228	159007.5671
229	158870.463
230	158739.7047
231	158675.6474
232	158618.0976
233	158567.7364
234	158514.7555
235	158475.6928
236	158403.842
237	158377.9177
238	158356.8447
239	158311.8091
240	158253.127
241	158226.2127
242	158139.4123
243	158096.6174
244	158072.6065
245	158049.3474
246	158026.1846
247	157963.047
248	157941.1137
249	157918.1893
250	157781.5027
251	157681.865
252	157626.5789
253	157566.1424
254	157544.6117
255	157523.76
256	157475.0295
257	157370.8433
258	157326.23
259	157229.855
260	157124.84
261	157107.1238
262	157078.4457
263	157057.084
264	157009.7647
265	156961.0667
266	156786.1824
267	156766.1339
268	156679.3173
269	156609.2662
270	156553.7405
271	156534.7341
272	156521.2672
273	156484.6349
274	156418.282
275	156400.1106
276	156380.2775
277	156199.5954
278	156176.7667
279	156120.2486
280	156078.1471
281	155962.3184
282	155945.8615
283	155897.5534
284	155880.7505
285	155821.4366
286	155805.6008
287	155752.0807
288	155739.3637
289	155676.077
290	155660.6604
291	155570.131
292	155525.1634
293	155463.5857
294	155375.3505
295	155319.4152
296	155250.8126
297	155236.1389
298	155223.2397
299	155153.867
300	155014.4129
301	154980.1907
302	154906.3341
303	154848.1019
304	154822.7221
305	154792.3107
306	154710.2379
307	154547.7364
308	154513.6993
309	154499.6154
310	154485.9883
311	154421.7379
312	154364.2984
313	154277.7169
314	154263.8382
315	154214.754
316	154204.3872
317	154164.5999
318	154151.62
319	154121.3415
320	153998.3183
321	153965.8626
322	153955.4603
323	153946.2352
324	153844.6385
325	153778.0017
326	153743.5561
327	153709.1965
328	153658.1343
329	153586.6304
330	153512.9938
331	153486.0194
332	153456.475
333	153447.0504
334	153317.0284
335	153261.5016
336	153182.1451
337	153106.126
338	153095.3231
339	153022.0598
340	153012.799
341	152994.7278
342	152924.4948
343	152911.0361
344	152868.0205
345	152730.5026
346	152716.0841
347	152648.4661
348	152587.5004
349	152486.2776
350	152472.9216
351	152378.6523
352	152333.8574
353	152306.0035
354	152206.2464
355	152192.9712
356	152087.6416
357	152079.8976
358	152072.6955
359	152006.7194
360	151902.1671
361	151813.7523
362	151662.1223
363	151633.5659
364	151564.3564
365	151554.2875
366	151507.2063
367	151498.9962
368	151451.116
369	151442.9785
370	151429.9029
371	151375.5796
372	151325.4647
373	151305.8638
374	151274.6209
375	151268.1008
376	151260.8498
377	151221.3803
378	151162.3348
379	151126.6898
380	151106.0248
381	151096.3044
382	151008.7466
383	151002.7769
384	150922.5763
385	150887.2116
386	150785.6226
387	150778.8006
388	150733.5218
389	150709.9505
390	150661.0362
391	150655.5201
392	150636.7071
393	150631.3613
394	150494.0169
395	150487.1994
396	150392.319
397	150348.4338
398	150306.0293
399	150256.5524
400	150235.1857
401	150173.0134
402	150138.0237
403	150133.0734
404	150080.9866
405	150076.0953
406	150038.4212
407	150031.538
408	150026.0212
409	149999.2274
410	149980.4382
411	149956.2888
412	149951.8591
413	149886.3742
414	149858.5804
415	149851.4469
416	149790.3745
417	149701.8188
418	149598.9576
419	149561.8476
420	149555.8931
421	149521.0482
422	149458.8073
423	149395.2312
424	149360.77
425	149323.3306
426	149318.5363
427	149285.636
428	149185.8872
429	149165.4942
430	149160.6652
431	149155.8048
432	149107.7124
433	149005.2881
434	148883.2235
435	148793.2187
436	148765.2978
437	148629.9729
438	148563.6805
439	148414.1895
440	148334.3137
441	148330.4267
442	148302.2017
443	148267.5569
444	148151.0324
445	148084.2775
446	148029.8571
447	147995.8132
448	147958.3332
449	147954.6237
450	147869.2504
451	147820.4206
452	147816.8279
453	147771.5806
454	147698.3569
455	147664.0215
456	147600.0527
457	147555.9801
458	147513.6562
459	147477.8841
460	147437.8253
461	147410.6666
462	147335.4609
463	147250.3449
464	147176.734
465	147111.6934
466	147067.7766
467	147012.6904
468	147008.5863
469	146979.9799
470	146976.4565
471	146876.0292
472	146858.2991
473	146767.0883
474	146741.1786
475	146672.1794
476	146594.236
477	146557.515
478	146535.2141
479	146480.6594
480	146407.3726
481	146404.1598
482	146365.8746
483	146361.7387
484	146291.4099
485	146233.2272
486	146201.6306
487	146158.3302
488	146100.6023
489	146063.32
490	146053.3184
491	146006.1056
492	146001.5585
493	145975.0158
494	145944.1694
495	145906.7345
496	145874.8616
497	145798.6105
498	145754.9653
499	145751.3153
500	145721.2014
501	145669.3581
502	145619.642
503	145616.2619
504	145560.2849
505	145535.3188
506	145531.1274
507	145462.6834
508	145459.0159
509	145439.7432
510	145337.1364
511	145333.3257
512	145299.1506
513	145295.3825
514	145192.455
515	145188.9798
516	145132.8311
517	145115.9516
518	145059.6567
519	145052.8148
520	145003.2584
521	144973.6104
522	144926.0797
523	144780.2448
524	144737.4121
525	144648.309
526	144584.2909
527	144505.511
528	144503.9998
529	144497.6528
530	144472.2372
531	144434.5768
532	144413.7758
533	144402.3246
534	144361.8436
535	144358.0777
536	144326.409
537	144231.9842
538	144195.3372
539	144144.4126
540	144133.2271
