Région,Localisation,Type de bien,Nature,Superficie,Nb_Salles De bain,Nb_Chambres,Prix,Texte Annonce
Ariana,Ariana,villa,À Vendre,320.0,3.0,5.0,530000.0,Villa a vendre a Soukra
Nabeul,Nabeul,Maison,À Vendre,197.0,1.0,2.0,240000.0,"A vendre une belle maison S+2 située aux environs de Hammamet - 5mn en voiture de la ville ,10mn de la plage"
La Manouba,La_Manouba,Maison,À Vendre,300.0,1.0,3.0,85.0,maison a el hafsia borj el amri
Ariana,Ariana,villa,À Vendre,517.0,3.0,5.0,1150000.0,A vendre une villa de 340m² sur un terrain de 517m²
Nabeul,Nabeul,villa,À Vendre,485.0,4.0,4.0,890000.0,"Villa "" SEBASTIAN"""
Ben Arous,Ben_Arous,villa,À Vendre,350.0,0.0,4.0,680000.0,villa à Ezzahra
Bizerte,Bizerte,villa,À Vendre,200.0,3.0,3.0,450.0,une villa style duplex
Bizerte,Bizerte,Maison,À Vendre,160.0,2.0,4.0,385.0,deux maisons hautes standing à vendre
Bizerte,Bizerte,villa,À Vendre,180.0,2.0,3.0,0.0,une villa style duplex
Ben Arous,Ben_Arous,villa,À Vendre,420.0,2.0,10.0,0.0,"A vendre Belle villa 
420 m2"
Nabeul,Nabeul,villa,À Vendre,265.0,2.0,3.0,480000.0,Villa avec piscine à 200 mètres plage Ezzahra Hammam ghzeez
Nabeul,Nabeul,villa,À Vendre,470.0,4.0,4.0,950000.0,"Villa "" JIMBARAN """
Nabeul,Nabeul,villa,À Vendre,700.0,2.0,3.0,0.0,A vendre une villa à Mimosa Nabeul          📞28256772📞
Sfax,Sfax,villa,À Vendre,1918.0,2.0,3.0,540000.0,Villa à vendre 1918m² à Route Manzel chaker km 3.5
Nabeul,Nabeul,villa,À Vendre,845000.0,3.0,4.0,1.0,"VILLA "" FLAMINGO """
Nabeul,Nabeul,Maison,À Vendre,200.0,1.0,2.0,0.0,A vendre une maison  située à Beni khiar Nabeul
Ariana,Ariana,villa,À Vendre,530.0,4.0,5.0,1600000.0,A VENDRE : Luxieuse villa S+5 situé à La Soukra
Nabeul,Nabeul,villa,À Vendre,460.0,3.0,4.0,920000.0,UNE BELLE VILLA S4 A VENDRE A HAMMAMET
Nabeul,Nabeul,villa,À Vendre,700.0,5.0,7.0,0.0,BELLE ET GRANDE VILLA A VENDRE A HAMMAMET NORD ZONE TOURISTIQUE
Tunis,Tunis,Maison,À Vendre,384.0,1.0,3.46913612565445,700000.0,A vendre une maison a l'aouina
Ariana,Ariana,villa,À Vendre,300.0,3.0,3.0,960000.0,a vendre une villa S+3 avec piscine a la soukra
Ben Arous,Ben_Arous,villa,À Vendre,580.0,2.0,7.0,1500000.0,À VENDRE VILLA EXCEPTIONNELLE SUR LES HAUTEURS DE RADES MONGIL
Ben Arous,Ben_Arous,villa,À Vendre,1014.0,2.0,6.0,2400000.0,À VENDRE EXCEPTIONNELLE VILLA SUR LES HAUTEUR DE RADES MONGIL
Ben Arous,Ben_Arous,villa,À Vendre,1053.0,2.0,5.0,1500000.0,À VENDRE VILLA S+5 DANS LA QUIÈTUDE DE RADES MONGIL
Ben Arous,Ben_Arous,villa,À Vendre,445.0,2.0,5.0,1300000.0,À VENDRE SPACIEUSE VILLA S+5 AUX ABORDS DE LA FORÊT DE RADES
Ben Arous,Ben_Arous,villa,À Vendre,735.0,4.0,7.0,1150000.0,À VENDRE SPLENDIDE VILLA EN PLEIN COEUR DE RADES
Ben Arous,Ben_Arous,villa,À Vendre,444.0,1.0,3.0,550000.0,À VENDRE VILLA S+3 À BOUMHEL BASSATINE CITÉ EL WAFA
Tunis,Tunis,villa,À Vendre,459.0,2.0,4.0,650000.0,À VENDRE VILLA R+1 DANS QUARTIER BELLEVUE À EL OUARDIA
Ben Arous,Ben_Arous,Maison,À Vendre,148.0,2.0,4.0,370000.0,À VENDRE MAISON D’ANGLE S+4 À RADES PLAGE
Ben Arous,Ben_Arous,Maison,À Vendre,170.0,1.0,3.0,370000.0,À VENDRE MAISON S+3 EN PLEIN CENTRE DE RADES
Ben Arous,Ben_Arous,Maison,À Vendre,450.0,3.0,3.0,580000.0,À VENDRE MAISON S+3 À 200M DE LA MER À RADES
Ben Arous,Ben_Arous,Maison,À Vendre,302.0,2.0,3.0,370000.0,À VENDRE MAISON S+3 À RADES PLAGE
Ben Arous,Ben_Arous,Maison,À Vendre,309.0,2.0,3.0,650000.0,À VENDRE CHARMANTE MAISON S+3 AVEC JARDIN À RADES
Ben Arous,Ben_Arous,Maison,À Vendre,174.0,3.0,7.0,400000.0,À VENDRE MAISON R+2 À RADES CITÉ ENNOUR
Ben Arous,Ben_Arous,Maison,À Vendre,183.0,2.0,5.0,680000.0,À VENDRE MAISON DE RAPPORT R+2 À EZZAHRA
Ben Arous,Ben_Arous,Maison,À Vendre,285.0,1.0,4.0,550000.0,À VENDRE MAISON R+1 À RADES PLAGE AVENUE TAIEB MHIRI
Ben Arous,Ben_Arous,Maison,À Vendre,289.0,2.0,5.0,620000.0,À VENDRE MAISON À DEUX NIVEAUX SÉPARÉS À RADES PLAGE
Ben Arous,Ben_Arous,Maison,À Vendre,208.0,3.0,7.0,450000.0,À VENDRE MAISON DE RAPPORT (3 APPARTEMENTS) À RADES MRAH
Ben Arous,Ben_Arous,Maison,À Vendre,341.0,3.0,6.0,650000.0,À VENDRE MAISON R+1 À RADES
Ben Arous,Ben_Arous,Maison,À Vendre,650.0,5.0,8.0,1000000.0,À VENDRE MAISON R+1 À RADES MELIANE
Ben Arous,Ben_Arous,Maison,À Vendre,201.0,2.0,3.0,540000.0,À VENDRE MAISON STYLE AMÉRICAIN S+3 À RADES PLAGE
Nabeul,Nabeul,villa,À Vendre,500.0,3.0,3.0,790000.0,""" Villa Domino """
Nabeul,Nabeul,villa,À Vendre,400.0,4.0,4.0,1030000.0,"Villa "" Les Mouettes """
Ben Arous,Ben_Arous,villa,À Vendre,417.0,1.0,4.0,480000.0,villa megrine 420m2
Nabeul,Nabeul,Maison,À Vendre,90.0,1.0,2.0,0.0,A vendre une maison S+2  à Beni Khiar           📞𝟐𝟖𝟐𝟓𝟔𝟕𝟕𝟐📞
Sfax,Sfax,Maison,À Vendre,303.0,2.0,5.0,350000.0,2 maisons a vendre
Tunis,Tunis,villa,À Vendre,587.0,3.0,5.0,1800000.0,À VENDRE : Villa de charme à Manar 3
Ariana,Ariana,villa,À Vendre,500.0,2.0,7.0,360.0,villa à vendre/فيلا للبيع
Tunis,Tunis,villa,À Vendre,800.0,1.0,10.0,0.0,opportunité de vente une villa de 3 niveaux  800m2 sur avenue principal a mutuelleville
Ariana,Ariana,villa,,402.0,6.0,7.0,950000.0,À VENDRE UNE VILLA S+7 À LA SOUKRA ( CHOTRANA 3 )
Ariana,Ariana,villa,À Vendre,2000.0,5.0,6.0,1.0,À VENDRE UNE MAGNIFIQUE VILLA DE MAITRE À LA SOUKRA
Tunis,Tunis,villa,À Vendre,662.0,4.0,8.0,1800.0,Villa à vendre à La Marsa cité des pins
Ariana,Ariana,villa,À Vendre,420.0,3.0,4.0,1200000.0,A Vendre Villa à Ennasr 2
Monastir,Monastir,villa,À Vendre,208.0,3.0,5.0,315000.0,Villa proche de la mer à vendre
Nabeul,Nabeul,villa,À Vendre,320.0,4.0,3.0,0.0,Majestueuse et luxueuse villa à vendre 1er position à la plage hamem ghzez
Nabeul,Nabeul,villa,À Vendre,500.0,4.0,2.0,830000.0,"A vendre à Hammamet, 3 km de la plage ,une villa S+4 de plain-pied"
Nabeul,Nabeul,villa,À Vendre,490.0,4.0,4.0,1250000.0,"Villa "" NUSA PENIDA """
Sousse,Sousse,villa,À Vendre,180.0,1.0,4.0,440.0,étage de villa haut standing
Ben Arous,Ben_Arous,villa,À Vendre,200.0,1.0,3.0,350000.0,A vendre une villa RDC s+3 à nouvelle médina prés hôpital yassminette
Tunis,Tunis,villa,À Vendre,185.0,1.0,4.0,0.0,Un beau RC d'une villa
Ariana,Ariana,villa,À Vendre,850.0,6.0,8.0,2200000.0,villa avenue piscine à vendre la soukra
Bizerte,Bizerte,villa,À Vendre,600.0,2.0,4.0,1.0,Grande villa haut standing A vendre a Demna Bizerte
Nabeul,Nabeul,villa,,402.0,3.0,5.0,1250000.0,"Villa "" MADAGASCAR """
