Région,Localisation,Type de bien,Nature,Superficie,Nb_Salles De bain,Nb_Chambres,Prix
Ariana,Ariana,villa,À Vendre,320.0,3.0,5.0,530000.0
Nabeul,Nabeul,Maison,À Vendre,197.0,1.0,2.0,240000.0
La Manouba,La_Manouba,Maison,À Vendre,300.0,1.0,3.0,192989.71698165592
Ariana,Ariana,villa,À Vendre,517.0,3.0,5.0,1150000.0
Nabeul,Nabeul,villa,À Vendre,485.0,4.0,4.0,890000.0
Ben Arous,Ben_Arous,villa,À Vendre,350.0,2.0,4.0,680000.0
Bizerte,Bizerte,villa,À Vendre,200.0,3.0,3.0,535697.9790170202
Bizerte,Bizerte,Maison,À Vendre,160.0,2.0,4.0,240949.81848204712
Bizerte,Bizerte,villa,À Vendre,180.0,2.0,3.0,535724.6569200353
Ben Arous,Ben_Arous,villa,À Vendre,420.0,2.0,10.0,834193.0684080992
Nabeul,Nabeul,villa,À Vendre,265.0,2.0,3.0,480000.0
Nabeul,Nabeul,villa,À Vendre,470.0,4.0,4.0,950000.0
Nabeul,Nabeul,villa,À Vendre,700.0,2.0,3.0,717468.1513222783
Nabeul,Nabeul,Maison,À Vendre,200.0,1.0,2.0,346944.7938185823
Ariana,Ariana,villa,À Vendre,530.0,4.0,5.0,734536.7057882267
Nabeul,Nabeul,villa,À Vendre,460.0,3.0,4.0,920000.0
Nabeul,Nabeul,villa,À Vendre,700.0,5.0,7.0,868858.4397235573
Tunis,Tunis,Maison,À Vendre,384.0,1.0,3.0,700000.0
Ariana,Ariana,villa,À Vendre,300.0,3.0,3.0,960000.0
Ben Arous,Ben_Arous,villa,À Vendre,580.0,2.0,7.0,720599.7230091512
Ben Arous,Ben_Arous,villa,À Vendre,1014.0,2.0,6.0,682766.3772729621
Ben Arous,Ben_Arous,villa,À Vendre,1053.0,2.0,5.0,644900.7576880862
Ben Arous,Ben_Arous,villa,À Vendre,445.0,2.0,5.0,1250000.0
Ben Arous,Ben_Arous,villa,À Vendre,735.0,4.0,7.0,1150000.0
Ben Arous,Ben_Arous,villa,À Vendre,444.0,1.0,3.0,550000.0
Tunis,Tunis,villa,À Vendre,459.0,2.0,4.0,650000.0
Ben Arous,Ben_Arous,Maison,À Vendre,148.0,2.0,4.0,370000.0
Ben Arous,Ben_Arous,Maison,À Vendre,170.0,1.0,3.0,370000.0
Ben Arous,Ben_Arous,Maison,À Vendre,450.0,3.0,3.0,580000.0
Ben Arous,Ben_Arous,Maison,À Vendre,302.0,2.0,3.0,370000.0
Ben Arous,Ben_Arous,Maison,À Vendre,309.0,2.0,3.0,650000.0
Ben Arous,Ben_Arous,Maison,À Vendre,174.0,3.0,7.0,400000.0
Ben Arous,Ben_Arous,Maison,À Vendre,183.0,2.0,5.0,680000.0
Ben Arous,Ben_Arous,Maison,À Vendre,285.0,1.0,4.0,550000.0
Ben Arous,Ben_Arous,Maison,À Vendre,289.0,2.0,5.0,620000.0
Ben Arous,Ben_Arous,Maison,À Vendre,208.0,3.0,7.0,450000.0
Ben Arous,Ben_Arous,Maison,À Vendre,341.0,3.0,6.0,650000.0
Ben Arous,Ben_Arous,Maison,À Vendre,650.0,5.0,8.0,1000000.0
Ben Arous,Ben_Arous,Maison,À Vendre,201.0,2.0,3.0,540000.0
Nabeul,Nabeul,villa,À Vendre,500.0,3.0,3.0,790000.0
Nabeul,Nabeul,villa,À Vendre,400.0,4.0,4.0,1030000.0
Ben Arous,Ben_Arous,villa,À Vendre,417.0,1.0,4.0,480000.0
Nabeul,Nabeul,Maison,À Vendre,90.0,1.0,2.0,346935.8061645176
Sfax,Sfax,Maison,À Vendre,303.0,2.0,5.0,350000.0
Tunis,Tunis,villa,À Vendre,587.0,3.0,5.0,712244.6477015878
Ariana,Ariana,villa,À Vendre,500.0,2.0,7.0,810328.4908872605
Tunis,Tunis,villa,À Vendre,800.0,1.0,10.0,901662.7056958248
Tunis,Tunis,villa,À Vendre,662.0,4.0,8.0,825828.8819759199
Ariana,Ariana,villa,À Vendre,420.0,3.0,4.0,1200000.0
Monastir,Monastir,villa,À Vendre,208.0,3.0,5.0,315000.0
Nabeul,Nabeul,villa,À Vendre,320.0,4.0,3.0,717380.4790189103
Nabeul,Nabeul,villa,À Vendre,500.0,4.0,2.0,830000.0
Nabeul,Nabeul,villa,À Vendre,490.0,4.0,4.0,1250000.0
Sousse,Sousse,villa,À Vendre,180.0,1.0,4.0,712135.6404037267
Ben Arous,Ben_Arous,villa,À Vendre,200.0,1.0,3.0,350000.0
Tunis,Tunis,villa,À Vendre,185.0,1.0,4.0,674399.6198383789
Bizerte,Bizerte,villa,À Vendre,600.0,2.0,4.0,573627.7795341448
Nabeul,Nabeul,villa,,402.0,3.0,5.0,1250000.0
Nabeul,Nabeul,villa,À Vendre,800.0,4.0,4.0,1050000.0
Nabeul,Nabeul,villa,À Vendre,397.0,4.0,4.0,1050000.0
Bizerte,Bizerte,villa,À Vendre,300.0,2.0,3.0,349999.0
Ariana,Ariana,villa,À Vendre,400.0,2.0,4.0,900000.0
Nabeul,Nabeul,villa,À Vendre,600.0,4.0,4.0,830000.0
Nabeul,Nabeul,villa,À Vendre,420.0,3.0,4.0,760000.0
Nabeul,Nabeul,villa,À Vendre,347.0,4.0,4.0,1100000.0
Tunis,Tunis,Maison,À Vendre,572.0,1.0,3.0,580000.0
Monastir,Monastir,villa,À Vendre,916.0,2.0,3.0,680000.0
Nabeul,Nabeul,villa,À Vendre,234.0,3.0,4.0,575000.0
Nabeul,Nabeul,Maison,À Vendre,269.0,1.0,3.0,400000.0
Nabeul,Nabeul,villa,À Vendre,426.0,3.0,3.0,1000000.0
Nabeul,Nabeul,villa,À Vendre,347.0,3.0,4.0,1100000.0
Tunis,Tunis,villa,À Vendre,282.0,2.0,4.0,674379.233293209
Ariana,Ariana,Maison,À Vendre,500.0,2.0,5.0,360000.0
Nabeul,Nabeul,villa,À Vendre,660.0,3.0,3.0,717436.5710625007
Sousse,Sousse,Maison,À Vendre,360.0,4.0,7.0,549999.0
Ben Arous,Ben_Arous,villa,À Vendre,566.0,3.0,3.0,569095.0426368841
Ariana,Ariana,villa,À Vendre,224.0,2.0,4.0,696699.5216958376
Ben Arous,Ben_Arous,Maison,À Vendre,216.0,2.0,3.0,375000.0
Ben Arous,Ben_Arous,villa,À Vendre,418.0,4.0,7.0,790000.0
Ben Arous,Ben_Arous,Maison,À Vendre,420.0,3.0,4.0,590000.0
Ben Arous,Ben_Arous,villa,À Vendre,94.0,1.0,3.0,140000.0
